Make;Model;Annual Petroleum Consumption For Fuel Type1;Annual Petroleum Consumption For Fuel Type2;Time to charge at 120V;Time to charge at 240V;City Mpg For Fuel Type1;Unrounded City Mpg For Fuel Type1 (2);City Mpg For Fuel Type2;Unrounded City Mpg For Fuel Type2;City gasoline consumption;City electricity consumption;EPA city utility factor;Co2 Fuel Type1;Co2 Fuel Type2;Co2  Tailpipe For Fuel Type2;Co2  Tailpipe For Fuel Type1;Combined Mpg For Fuel Type1;Unrounded Combined Mpg For Fuel Type1;Combined Mpg For Fuel Type2;Unrounded Combined Mpg For Fuel Type2;Combined electricity consumption;Combined gasoline consumption;EPA combined utility factor;Cylinders;Engine displacement;Drive;EPA model type index;Engine descriptor;EPA Fuel Economy Score;Annual Fuel Cost For Fuel Type1;Annual Fuel Cost For Fuel Type2;Fuel Type;Fuel Type1;GHG Score;GHG Score Alternative Fuel;Highway Mpg For Fuel Type1;Unrounded Highway Mpg For Fuel Type1;Highway Mpg For Fuel Type2;Unrounded Highway Mpg For Fuel Type2;Highway gasoline consumption;Highway electricity consumption;EPA highway utility factor;Hatchback luggage volume;Hatchback passenger volume;ID;2 door luggage volume;4 door luggage volume;MPG Data;PHEV Blended;2-door passenger volume;4-door passenger volume;Range For Fuel Type1;Range  City For Fuel Type1;Range  City For Fuel Type2;Range  Highway For Fuel Type1;Range  Highway For Fuel Type2;Transmission;Unadjusted City Mpg For Fuel Type1;Unadjusted City Mpg For Fuel Type2;Unadjusted Highway Mpg For Fuel Type1;Unadjusted Highway Mpg For Fuel Type2;Vehicle Size Class;Year;You Save/Spend;Guzzler;Transmission descriptor;T Charger;S Charger;ATV Type;Fuel Type2;Epa Range For Fuel Type2;Electric motor;MFR Code;c240Dscr;charge240b;C240B Dscr;Created On;Modified On;Start-Stop;PHEV City;PHEV Highway;PHEV Combined;baseModel
Toyota;Corolla;11.442692307692308;0.0;0.0;0.0;24;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;341.8076923076923;26;0.0;0;0.0;0.0;0.0;0.0;4;1.6;Front-Wheel Drive;57020;FFS;;2050;0;Regular;Regular Gasoline;;;29;0.0;0;0.0;0.0;0.0;0.0;20;85;392;0;13;N;false;0;87;0;0.0;0.0;0.0;0.0;Automatic 3-spd;31.0;0.0;41.0;0.0;Compact Cars;1985;-750;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
Toyota;Corolla LE Eco;8.750294117647059;0.0;0.0;0.0;30;30.0;0;0.0;0.0;0.0;0.0;263;-1;0.0;263.0;34;34.0354;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;31;;8;1600;0;Regular;Regular Gasoline;8;;40;39.5547;0;0.0;0.0;0.0;0.0;0;0;39344;0;13;Y;false;0;98;0;0.0;0.0;0.0;0.0;Automatic (variable gear ratios);40.5;0.0;58.6;0.0;Midsize Cars;2018;1500;;;;;;;;;TYX;;0.0;;2017-08-28;2017-12-20;N;0;0;0;Corolla
Toyota;Corolla LE Eco;9.015454545454546;0.0;0.0;0.0;29;29.4867;0;0.0;0.0;0.0;0.0;271;-1;0.0;271.0;33;32.6559;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;32;2-mode Normal/Eco Transmission;8;1650;0;Regular;Regular Gasoline;8;;38;37.5944;0;0.0;0.0;0.0;0.0;0;0;39345;0;13;N;false;0;98;0;0.0;0.0;0.0;0.0;Automatic (variable gear ratios);38.9;0.0;55.3;0.0;Midsize Cars;2018;1250;;;;;;;;;TYX;;0.0;;2017-08-28;2017-12-20;N;0;0;0;Corolla
Toyota;Corolla;9.015454545454546;0.0;0.0;0.0;29;29.2865;0;0.0;0.0;0.0;0.0;266;-1;0.0;266.0;33;33.1228;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;14;;7;1650;0;Regular;Regular Gasoline;7;;39;39.4367;0;0.0;0.0;0.0;0.0;0;0;41218;0;13;N;false;0;89;0;0.0;0.0;0.0;0.0;Manual 6-spd;38.6;0.0;58.4;0.0;Compact Cars;2020;1250;;;;;;;;;TYX;;0.0;;2019-02-06;2019-04-16;N;0;0;0;Corolla
Toyota;Corolla Hatchback;8.500285714285715;0.0;0.0;0.0;32;31.8662;0;0.0;0.0;0.0;0.0;250;-1;0.0;250.0;35;35.4774;0;0.0;0.0;0.0;0.0;4;2.0;Front-Wheel Drive;71;SIDI & PFI;8;1550;0;Regular;Regular Gasoline;8;;41;41.1813;0;0.0;0.0;0.0;0.0;18;85;42093;0;0;N;false;0;0;0;0.0;0.0;0.0;0.0;Automatic (AV-S10);42.5097;0.0;61.3743;0.0;Compact Cars;2020;1750;;;;;;;;;TYX;;0.0;;2019-09-25;2019-11-08;N;0;0;0;Corolla
Toyota;Corolla;9.015454545454546;0.0;0.0;0.0;30;29.7701;0;0.0;0.0;0.0;0.0;267;-1;0.0;267.0;33;33.0246;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;2;;7;1650;0;Regular;Regular Gasoline;7;;38;38.1176;0;0.0;0.0;0.0;0.0;0;0;42582;0;13;Y;false;0;89;0;0.0;0.0;0.0;0.0;Automatic (variable gear ratios);39.3258;0.0;56.1761;0.0;Compact Cars;2021;1250;;;;;;;;;TYX;;0.0;;2020-04-24;2020-08-24;N;0;0;0;Corolla
Toyota;Corolla;9.015454545454546;0.0;0.0;0.0;30;29.7651;0;0.0;0.0;0.0;0.0;267;-1;0.0;267.0;33;33.0167;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;1;;7;1650;0;Regular;Regular Gasoline;7;;38;38.1044;0;0.0;0.0;0.0;0.0;0;0;44070;0;13;N;false;0;89;0;0.0;0.0;0.0;0.0;Automatic (variable gear ratios);39.3183;0.0;56.1539;0.0;Compact Cars;2022;1250;;;;;;;;;TYX;;0.0;;2021-06-24;2021-10-26;N;0;0;0;Corolla
Toyota;Corolla Hatchback;8.500285714285715;0.0;0.0;0.0;32;31.798;0;0.0;0.0;0.0;0.0;251;-1;0.0;251.0;35;35.3728;0;0.0;0.0;0.0;0.0;4;2.0;Front-Wheel Drive;42;SIDI & PFI;7;1550;0;Regular;Regular Gasoline;7;;41;41.0074;0;0.0;0.0;0.0;0.0;18;85;44238;0;0;N;false;0;0;0;0.0;0.0;0.0;0.0;Automatic (AV-S10);42.4052;0.0;61.0762;0.0;Compact Cars;2022;1750;;;;;;;;;TYX;;0.0;;2021-07-26;2021-10-26;N;0;0;0;Corolla
Toyota;Corolla Hatchback;8.500285714285715;0.0;0.0;0.0;32;31.7383;0;0.0;0.0;0.0;0.0;252;-1;0.0;252.0;35;35.2813;0;0.0;0.0;0.0;0.0;4;2.0;Front-Wheel Drive;12;SIDI & PFI;7;1550;0;Regular;Regular Gasoline;7;;41;40.8556;0;0.0;0.0;0.0;0.0;18;85;45899;0;0;N;false;0;0;0;0.0;0.0;0.0;0.0;Automatic (AV-S10);42.3137;0.0;60.8162;0.0;Compact Cars;2023;1750;;;;;;;;;TYX;;0.0;;2022-09-20;2023-05-17;N;0;0;0;Corolla
Toyota;Corolla;8.750294117647059;0.0;0.0;0.0;31;30.8533;0;0.0;0.0;0.0;0.0;258;-1;0.0;258.0;34;34.2348;0;0.0;0.0;0.0;0.0;4;2.0;Front-Wheel Drive;49;"SIDI & PFI; 3-mode";7;1600;0;Regular;Regular Gasoline;7;;40;39.53;0;0.0;0.0;0.0;0.0;0;0;45932;0;13;N;false;0;89;0;0.0;0.0;0.0;0.0;Automatic (AV-S10);40.9634;0.0;58.5582;0.0;Compact Cars;2023;1500;;;;;;;;;TYX;;0.0;;2022-10-03;2023-05-17;N;0;0;0;Corolla
